feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
GLYCOLYSIS	carbohydrate_inflammatory_carbon	Glycolysis	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5186;GSE186800:-0.0933;GSE252321:1.0086;GSE280297:-0.4066	2	2	negative	0.6153846153846154	0.2126527648877263	0.4626056479084688	1.0085607514920767	1	2	1	context_divergent_or_tissue_specific	12.577990263293083
XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	nucleotide_nad_nitrogen	Xanthine oxidase and oxidative purine catabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.5130;GSE186800:-0.0147;GSE252321:0.8909;GSE280297:-0.0112	2	2	negative	0.6153846153846154	0.2508795193021792	0.263842357095577	0.8909110371341586	1	2	1	context_divergent_or_tissue_specific	12.379226972480192
NITRIC_OXIDE_SYNTHESIS_REGULATION	nucleotide_nad_nitrogen	Nitric-oxide synthesis and regulation	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1616;GSE186800:-0.1855;GSE252321:0.8087;GSE280297:-0.4823	2	2	negative	0.6153846153846154	-0.011984839719327	0.3339360913758158	0.808654716637116	1	1	1	context_divergent_or_tissue_specific	10.949320706760432
ARGININE_NO_UREA	amino_acid_metabolism	Arginine, nitric oxide and urea coupling	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2147;GSE186800:-0.0814;GSE252321:1.4385;GSE280297:-0.3257	2	2	negative	0.6153846153846154	0.0666332786882913	0.2702189105332384	1.4385237823077388	1	1	1	context_divergent_or_tissue_specific	10.885603525917851
PENTOSE_PHOSPHATE_PATHWAY	carbohydrate_inflammatory_carbon	Pentose-phosphate pathway	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2952;GSE186800:-0.2188;GSE252321:-0.4690;GSE280297:0.4285	2	2	positive	0.6153846153846154	0.0381929987585074	0.3618440054597124	0.4690392605595158	1	0	0	context_divergent_or_tissue_specific	6.977228620844327
ESTROGEN_BIOSYNTHESIS	steroid_cholesterol_endocrine	Estrogen biosynthesis and interconversion	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.2829;GSE186800:0.1224;GSE252321:-0.1834;GSE280297:0.2236	2	2	positive	0.6153846153846154	-0.0304902156618608	0.20347591443295	0.2828595871711987	1	0	0	context_divergent_or_tissue_specific	6.818860529817565
UREA_CYCLE	nucleotide_nad_nitrogen	Urea cycle	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2398;GSE186800:-0.1473;GSE252321:0.1551;GSE280297:-0.0291	2	2	negative	0.6153846153846154	0.0630462989719633	0.1512051632553365	0.2398267873201662	1	0	0	context_divergent_or_tissue_specific	6.766589778639951
TESTOSTERONE_CONVERSION_AROMATIZATION	steroid_cholesterol_endocrine	Testosterone conversion and aromatization	Figure_7	3	GSE112098;GSE186800;GSE280297	GSE112098:-0.2152;GSE186800:-0.0796;GSE280297:0.2891	1	2	negative	0.6666666666666666	-0.0796346338509084	0.2151942148542195	0.28911717676748	1	0	0	context_divergent_or_tissue_specific	6.631860881520886
GLUCOSE_TRANSPORT	carbohydrate_inflammatory_carbon	Glucose transport	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0074;GSE186800:0.3861;GSE252321:1.3651;GSE280297:-0.3234	2	2	negative	0.6153846153846154	0.1893554857607243	0.3547661627287148	1.3650722104202886	0	1	1	context_divergent_or_tissue_specific	5.97015077811333
PLACENTAL_STEROID_METABOLISM	steroid_cholesterol_endocrine	Placental steroid metabolism	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1552;GSE186800:0.1492;GSE252321:1.0602;GSE280297:-0.0658	2	2	negative	0.6153846153846154	0.041738926812966	0.1522322730799273	1.0602349023846258	0	1	1	context_divergent_or_tissue_specific	5.767616888464542
