figure_family	figure_title	panel	panel_title	panel_purpose	module_rank	feature_id	display_label	validation_class	infection_direction	infection_coherence	preterm_effect	preterm_coherence	dataset_effects
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	1	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	-0.4971530114341522	0.6666666666666666	GSE112098=0.5287|FDR10=True;GSE186800=-0.0500|FDR10=False;GSE252321=1.2720|FDR10=False;GSE280297=0.0681|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	2	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	0.2878657120830686	1.0	GSE112098=0.5414|FDR10=True;GSE186800=-0.4518|FDR10=False;GSE252321=0.6107|FDR10=False;GSE280297=0.4246|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	3	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	limited_independent_support	negative	0.6923076923076923	0.130834045096689	0.6666666666666666	GSE112098=-0.2673|FDR10=True;GSE186800=-0.0699|FDR10=False;GSE252321=-0.3102|FDR10=False;GSE280297=0.2987|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	4	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.4555306999870017	1.0	GSE112098=-0.0119|FDR10=False;GSE186800=0.0935|FDR10=False;GSE252321=1.2139|FDR10=False;GSE280297=-0.0385|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	5	COMPLEMENT_REGULATORS	Complement regulators	limited_independent_support	positive	1.0	-0.1151856694214474	0.6666666666666666	GSE112098=0.0923|FDR10=False;GSE186800=0.1554|FDR10=False;GSE252321=0.2582|FDR10=False;GSE280297=0.5237|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	6	COMPLEMENT_LECTIN	Lectin complement pathway	limited_independent_support	negative	1.0	0.3022518246503143	0.6666666666666666	GSE112098=-0.0446|FDR10=False;GSE186800=-0.0154|FDR10=False;GSE252321=-0.4272|FDR10=False;GSE280297=-0.1012|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	7	COMPLEMENT_CLASSICAL	Classical complement pathway	limited_independent_support	positive	0.6923076923076923	0.4735556700610808	1.0	GSE112098=0.0482|FDR10=False;GSE186800=-0.3507|FDR10=False;GSE252321=0.0450|FDR10=False;GSE280297=0.2653|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	8	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	limited_independent_support	negative	0.6923076923076923	0.2020359434638153	1.0	GSE112098=-0.0330|FDR10=False;GSE186800=-0.0621|FDR10=False;GSE252321=-0.1859|FDR10=False;GSE280297=0.3001|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	9	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	limited_independent_support	positive	0.6923076923076923	0.5744464349606124	0.6666666666666666	GSE112098=-0.0420|FDR10=False;GSE186800=0.0188|FDR10=False;GSE252321=0.1893|FDR10=False;GSE280297=0.0283|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	1	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	-0.4971530114341522	0.6666666666666666	GSE112098=0.5287|FDR10=True;GSE186800=-0.0500|FDR10=False;GSE252321=1.2720|FDR10=False;GSE280297=0.0681|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	2	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	0.2878657120830686	1.0	GSE112098=0.5414|FDR10=True;GSE186800=-0.4518|FDR10=False;GSE252321=0.6107|FDR10=False;GSE280297=0.4246|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	3	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	limited_independent_support	negative	0.6923076923076923	0.130834045096689	0.6666666666666666	GSE112098=-0.2673|FDR10=True;GSE186800=-0.0699|FDR10=False;GSE252321=-0.3102|FDR10=False;GSE280297=0.2987|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	4	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	context_divergent_or_tissue_specific	negative	0.6153846153846154	-0.4555306999870017	1.0	GSE112098=-0.0119|FDR10=False;GSE186800=0.0935|FDR10=False;GSE252321=1.2139|FDR10=False;GSE280297=-0.0385|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	5	COMPLEMENT_REGULATORS	Complement regulators	limited_independent_support	positive	1.0	-0.1151856694214474	0.6666666666666666	GSE112098=0.0923|FDR10=False;GSE186800=0.1554|FDR10=False;GSE252321=0.2582|FDR10=False;GSE280297=0.5237|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	6	COMPLEMENT_LECTIN	Lectin complement pathway	limited_independent_support	negative	1.0	0.3022518246503143	0.6666666666666666	GSE112098=-0.0446|FDR10=False;GSE186800=-0.0154|FDR10=False;GSE252321=-0.4272|FDR10=False;GSE280297=-0.1012|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	7	COMPLEMENT_CLASSICAL	Classical complement pathway	limited_independent_support	positive	0.6923076923076923	0.4735556700610808	1.0	GSE112098=0.0482|FDR10=False;GSE186800=-0.3507|FDR10=False;GSE252321=0.0450|FDR10=False;GSE280297=0.2653|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	8	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	limited_independent_support	negative	0.6923076923076923	0.2020359434638153	1.0	GSE112098=-0.0330|FDR10=False;GSE186800=-0.0621|FDR10=False;GSE252321=-0.1859|FDR10=False;GSE280297=0.3001|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	9	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	limited_independent_support	positive	0.6923076923076923	0.5744464349606124	0.6666666666666666	GSE112098=-0.0420|FDR10=False;GSE186800=0.0188|FDR10=False;GSE252321=0.1893|FDR10=False;GSE280297=0.0283|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	1	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	-0.4971530114341522	0.6666666666666666	GSE112098=0.5287|FDR10=True;GSE186800=-0.0500|FDR10=False;GSE252321=1.2720|FDR10=False;GSE280297=0.0681|FDR10=False
Figure_10	Complement initiation, amplification, effector and regulatory architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	2	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	one_FDR_dataset_plus_independent_concordant_effect	positive	0.6923076923076923	0.2878657120830686	1.0	GSE112098=0.5414|FDR10=True;GSE186800=-0.4518|FDR10=False;GSE252321=0.6107|FDR10=False;GSE280297=0.4246|FDR10=False
