panel_key	polish_action
Figure_5B	Shortened title
Figure_5D	Numbered six priority points with inset key
Figure_5E	Shortened title and increased left margin
Figure_5G	Top six subtype entries and shortened labels
Figure_6D	Top six subtype entries and shortened labels
Figure_6F-H	Increased label margins
Figure_7B	Shortened title
Figure_7D	Top six subtype entries and shortened labels
Figure_7E	Shortened explanatory footer
Figure_7F	Numbered six priority points with inset key
Figure_8F	Larger three-tier evidence layout and four concise limitations
