category	supplementary_table	audit_id	pass	observed	expected	severity	note
general	S1	file_exists_and_nonempty	True	exists=True; rows=157	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S1	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S1	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S1	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S2	file_exists_and_nonempty	True	exists=True; rows=78	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S2	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S2	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S2	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S3	file_exists_and_nonempty	True	exists=True; rows=1012	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S3	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S3	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S3	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S4	file_exists_and_nonempty	True	exists=True; rows=142	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S4	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S4	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S4	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S5	file_exists_and_nonempty	True	exists=True; rows=405	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S5	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S5	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S5	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S6	file_exists_and_nonempty	True	exists=True; rows=558	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S6	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S6	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S6	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S7	file_exists_and_nonempty	True	exists=True; rows=219	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S7	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S7	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S7	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S8	file_exists_and_nonempty	True	exists=True; rows=83	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S8	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S8	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S8	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S9	file_exists_and_nonempty	True	exists=True; rows=197	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S9	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S9	semantic_accession_cleanliness	True	authorized=0; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S9	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
general	S10	file_exists_and_nonempty	True	exists=True; rows=17	existing nonempty TSV	BLOCKING	Every supplementary table must be present.
general	S10	provenance_schema	True	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	_supplementary_table; _table_title; _source_order; _source_role; _source_file; _source_relative_path; _source_sha256; _source_row_number	BLOCKING	All rows must retain complete source provenance.
general	S10	semantic_accession_cleanliness	True	authorized=1; unauthorized=0	zero unauthorized GSE168600 use	BLOCKING	The sole allowed GSE168600 string is the explicit S10 prohibition rule.
general	S10	expected_source_roles_only	True		none	BLOCKING	No unplanned source blocks should appear in the controlled table.
table_specific	S1	design_total_rows	True	157	157	BLOCKING	Four frozen designs must contribute 4+73+20+60 rows.
table_specific	S1	sample_ids_unique_within_source	True	0	0	BLOCKING	Sample identifiers must be unique inside each dataset design.
table_specific	S1	dam_identifier_boundary	True	0	0	BLOCKING	No dam-level identifier is available; tissue samples remain inferential units.
table_specific	S2	unique_submodules	True	78	78	BLOCKING	The frozen library contains 78 unique submodules.
table_specific	S2	unique_axes	True	10	10	BLOCKING	The frozen library contains ten biological axes.
table_specific	S2	declared_gene_counts_match	True	0	0	BLOCKING	Each n_genes value should match the parsed gene list.
table_specific	S2	duplicate_gene_tokens_within_module	True	0	0	WARNING	Duplicate tokens inside a module should be reviewed.
table_specific	S3	four_dataset_effect_sources	True	GSE112098 adjusted human comparator module effects; GSE186800 block and interaction module effects; GSE252321 sample-level UPEC-versus-control module effects; GSE280297 factorial and tissue-specific module effects	GSE112098 adjusted human comparator module effects; GSE186800 block and interaction module effects; GSE252321 sample-level UPEC-versus-control module effects; GSE280297 factorial and tissue-specific module effects	BLOCKING	All four independently analyzed datasets must be represented.
table_specific	S3	single_cell_biological_unit	False	sample_mean	sample	BLOCKING	GSE252321 effects must use four biological samples, not cells.
