supplementary_table	table_title	source_sequence	source_role	source_path	source_relative_path	source_status	assembly_mode	selection_rationale	final_user_confirmation_required
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	1	GSE252321 four-sample biological design	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE252321 four-sample biological design	False
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	2	GSE112098 validated 73-sample design	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE112098 validated 73-sample design	False
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	3	GSE186800 validated 20-sample recurrent-UTI design	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE186800 validated 20-sample recurrent-UTI design	False
S1	Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.	4	GSE280297 validated 60-tissue-sample design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE280297 validated 60-tissue-sample design	False
S2	Expanded 78-submodule library organized across ten biological axes.	1	Frozen 78-submodule library	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Frozen 78-submodule library	False
S3	Dataset-specific module effects and factorial or adjusted contrasts.	1	GSE112098 adjusted human comparator module effects	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE112098 adjusted human comparator module effects	False
S3	Dataset-specific module effects and factorial or adjusted contrasts.	2	GSE280297 factorial and tissue-specific module effects	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE280297 factorial and tissue-specific module effects	False
S3	Dataset-specific module effects and factorial or adjusted contrasts.	3	GSE186800 block and interaction module effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE186800 block and interaction module effects	False
S3	Dataset-specific module effects and factorial or adjusted contrasts.	4	GSE252321 sample-level UPEC-versus-control module effects	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	GSE252321 sample-level UPEC-versus-control module effects	False
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	1	Evidence-class summary	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_validation_class_summary.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Evidence-class summary	False
