order	section_number	paragraph_type	style	text	word_count
0	1	subheading	Heading 2	An expanded multi-context atlas establishes the analytical and evidence framework	10
1	1	body	Normal	We assembled a multi-context host-response atlas spanning a human urinary/systemic inflammatory comparator (GSE112098; n=73), a mouse pregnancy-associated UTI model sampled across bladder, placenta and uterus (GSE280297; n=60 tissue samples), a mouse recurrent or prior-exposure bladder model (GSE168600; n=20), and a four-sample single-cell UPEC experiment (GSE252321). The analytical framework comprised 78 curated submodules distributed across ten biological axes, including steroid-cholesterol-endocrine biology, lipid metabolism, adipokine and insulin/IRS signaling, inflammatory carbon metabolism, amino-acid metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, immune-context anchors and stress-adjacent signaling. Each dataset was analyzed independently in its native species and tissue context, and cross-study integration was performed using signed standardized effects, recurrence and directional concordance rather than pooled raw expression (Figure 1A-E).	119
2	1	body	Normal	The evidence framework separated modules with recurrent cross-dataset concordance from provisional effects supported by one false-discovery-rate-qualified dataset plus independent directional support, context-divergent effects, and modules with limited independent evidence. This hierarchy was used throughout the atlas to distinguish reproducible host-response architecture from biologically plausible but context-sensitive signals. The cellular scoring layer retained 73 score-eligible modules and was interpreted as localization evidence rather than as an additional independent cohort (Figure 1F).	70
3	2	subheading	Heading 2	Independent datasets identify a recurrent TLR4-leptin-PI3K-AKT infection core	8
4	2	body	Normal	Independent analysis of the eligible infection contrasts identified a recurrent signaling core centered on TLR4-LPS sensing, leptin signaling and PI3K-AKT activity. These modules showed the most consistent positive infection-associated direction across the independently analyzed datasets. Insulin receptor/IRS signaling, glycogen synthesis and inflammatory-carbon programs contributed additional support, but their magnitudes and recurrence varied across models, consistent with context-dependent metabolic engagement rather than a uniform response across all tissues and species (Figure 2A-C).	72
5	2	body	Normal	The adjusted human comparator and the mouse factorial contrasts further separated recurrent from context-specific biology. TLR4-LPS, leptin and PI3K-AKT retained the clearest cross-dataset support, whereas several endocrine, lipid, carbon-use and immune-effector modules were prominent only in particular models. Evidence-weighted concordance therefore captured shared direction without assuming equivalent effect magnitude or identical mechanism across datasets. Complement C3a/C5a signaling and opsonophagocytosis also recurred across contexts, but these were retained as provisional core features because independent sample support was more limited (Figure 2D-G).	81
6	3	subheading	Heading 2	Pregnancy-associated UTI shows tissue-specific and branch-selective remodeling	7
7	3	body	Normal	The GSE280297 design resolved mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC states across bladder, placenta and uterus. This architecture enabled separate evaluation of preterm-versus-term outcome effects, UPEC-versus-PBS effects during pregnancy and pregnant-versus-nonpregnant bladder effects. No broad pregnancy-wide false-discovery-rate signal was detected; accordingly, the pregnancy analyses were interpreted through effect size, tissue coherence and branch-level biological organization rather than through a claim of global significance. Tissue samples were retained as the inferential units because dam identifiers were unavailable (Figure 3A-C).	81
8	3	body	Normal	Within the preterm-versus-term comparison, steroid biology was characterized by synthesis-response decoupling rather than uniform activation or suppression. Core steroidogenesis and androgen/testosterone biosynthesis tended to shift positively, whereas estrogen biosynthesis/interconversion and cholesterol-biosynthetic programs tended to shift negatively. Broad receptor-response and metabolic-effector domains were comparatively attenuated. The resulting pattern supports a branch-selective pregnancy-associated reorganization in which steroid synthesis or transformation can diverge from downstream cellular response programs (Figure 3D-F).	69
9	3	body	Normal	Complement and inflammatory-carbon biology was likewise branch-selective. C3a/C5a signaling, opsonophagocytosis, complement regulation, coagulation crosstalk and carbon-use programs differed across tissues and contrasts rather than moving as a single coordinated pathway. These findings define a tissue- and outcome-dependent pregnancy model in which UPEC-associated innate sensing and complement activation intersect with endocrine and metabolic remodeling, while remaining exploratory in the absence of broad pregnancy-wide FDR support (Figure 3G,H).	68
