axis_group	source_name	axis_modules	overlap_modules	overlap_feature_ids
endocrine	primary_independent_effects	15	15	ANDROGEN_RECEPTOR_SIGNALING;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;GLUCOCORTICOID_RESPONSE;LXR_FXR_STEROL_SIGNALING;MINERALOCORTICOID_RESPONSE;PLACENTAL_STEROID_METABOLISM;PROGESTERONE_BIOSYNTHESIS_RESPONSE;STEROIDOGENESIS_CORE;STEROID_CATABOLISM_DEACTIVATION;STEROID_SULFATION_DESULFATION;TESTOSTERONE_CONVERSION_AROMATIZATION
endocrine	broad_effect_reliability	15	12	ANDROGEN_RECEPTOR_SIGNALING;CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;GLUCOCORTICOID_RESPONSE;LXR_FXR_STEROL_SIGNALING;MINERALOCORTICOID_RESPONSE;PLACENTAL_STEROID_METABOLISM;PROGESTERONE_BIOSYNTHESIS_RESPONSE;STEROIDOGENESIS_CORE;STEROID_SULFATION_DESULFATION
endocrine	module_cellular_synthesis	15	12	ANDROGEN_RECEPTOR_SIGNALING;CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;GLUCOCORTICOID_RESPONSE;LXR_FXR_STEROL_SIGNALING;MINERALOCORTICOID_RESPONSE;PLACENTAL_STEROID_METABOLISM;PROGESTERONE_BIOSYNTHESIS_RESPONSE;STEROIDOGENESIS_CORE;STEROID_SULFATION_DESULFATION
endocrine	full_GSE280297_matrix	15	14	ANDROGEN_RECEPTOR_SIGNALING;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;CHOLESTEROL_BIOSYNTHESIS;CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;GLUCOCORTICOID_RESPONSE;LXR_FXR_STEROL_SIGNALING;MINERALOCORTICOID_RESPONSE;PLACENTAL_STEROID_METABOLISM;PROGESTERONE_BIOSYNTHESIS_RESPONSE;STEROIDOGENESIS_CORE;STEROID_SULFATION_DESULFATION;TESTOSTERONE_CONVERSION_AROMATIZATION
lipid	primary_independent_effects	8	8	EICOSANOID_PROSTAGLANDIN_METABOLISM;FATTY_ACID_BETA_OXIDATION;FATTY_ACID_SYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PHOSPHOLIPID_METABOLISM;PPAR_SREBP_LXR_REGULATION;SPHINGOLIPID_CERAMIDE_METABOLISM
lipid	broad_effect_reliability	8	8	EICOSANOID_PROSTAGLANDIN_METABOLISM;FATTY_ACID_BETA_OXIDATION;FATTY_ACID_SYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PHOSPHOLIPID_METABOLISM;PPAR_SREBP_LXR_REGULATION;SPHINGOLIPID_CERAMIDE_METABOLISM
lipid	module_cellular_synthesis	8	8	EICOSANOID_PROSTAGLANDIN_METABOLISM;FATTY_ACID_BETA_OXIDATION;FATTY_ACID_SYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PHOSPHOLIPID_METABOLISM;PPAR_SREBP_LXR_REGULATION;SPHINGOLIPID_CERAMIDE_METABOLISM
lipid	full_GSE280297_matrix	8	8	EICOSANOID_PROSTAGLANDIN_METABOLISM;FATTY_ACID_BETA_OXIDATION;FATTY_ACID_SYNTHESIS;FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PHOSPHOLIPID_METABOLISM;PPAR_SREBP_LXR_REGULATION;SPHINGOLIPID_CERAMIDE_METABOLISM
adipokine_insulin	primary_independent_effects	9	9	ADIPOKINE_INFLAMMATORY_AXIS;ADIPONECTIN_SIGNALING;AMPK_INSULIN_COUNTERREGULATION;INSULIN_RECEPTOR_IRS;LEPTIN_SIGNALING;MTORC1_INSULIN_OUTPUT;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;RESISTIN_INFLAMMATORY_SIGNALING
adipokine_insulin	broad_effect_reliability	9	9	ADIPOKINE_INFLAMMATORY_AXIS;ADIPONECTIN_SIGNALING;AMPK_INSULIN_COUNTERREGULATION;INSULIN_RECEPTOR_IRS;LEPTIN_SIGNALING;MTORC1_INSULIN_OUTPUT;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;RESISTIN_INFLAMMATORY_SIGNALING
