paragraph_index	text	style_id	outline_level	detected_section	character_count	word_count	contains_figure_reference	contains_table_reference
0	Pre-Zotero manuscript v4 figure-aligned draft	Title			45	5	False	False
1	Generated: 2026-07-09				21	2	False	False
2	Working title	Heading2			13	2	False	False
3	Cellular and immunometabolic architecture of urinary tract infection susceptibility, recurrence, and pregnancy-associated inflammation: an integrative host-omics and single-cell validation study				194	20	False	False
4	Authors	Heading2			7	1	False	False
5	Reuben S. Maghembe				18	3	False	False
6	Affiliations and co-author list to be finalized before journal formatting.				74	10	False	False
7	Keywords	Heading2			8	1	False	False
8	urinary tract infection; recurrent UTI; pregnancy-associated UTI; UPEC; host omics; single-cell transcriptomics; innate immunity; NLRP3; TLR4; TLR5; glucocorticoid signaling; oxytocin signaling; immunometabolism				211	22	False	False
9	Abstract	Heading1		Abstract	8	1	False	False
10	Background: Urinary tract infection (UTI), recurrent UTI, and pregnancy-associated UTI involve pathogen exposure in host compartments where epithelial, immune, hormonal, inflammatory, and metabolic-response programs may shape disease expression. However, public omics datasets are often analyzed within individual compartments, limiting cross-context synthesis.				361	41	False	False
11	Methods: We constructed a curated UTI host-response module library and reanalyzed public datasets representing a recurrence-trigger bladder model, pregnancy-associated UTI tissues, a repaired human urine inflammatory comparator, and UPEC-responsive single-cell data. Matrices were inspected, repaired where possible, harmonized to gene-level features, and scored for modules capturing innate sensing, NF-kB/MAPK and interferon-like signaling, inflammatory cell death, neutrophil/NETosis, myeloid activation, immune restraint, hormonal signaling, oxidative stress, barrier repair, and transcriptionally inferred metabolic activity. Cross-cohort module priorities were integrated with sample-level and cell-distribution validation from GSE252321 single-cell data.				761	87	False	False
12	Results: The single-cell validation layer included 28313 cells, comprising 14857 control and 13456 UPEC-exposed cells across four biological samples. Cross-cohort integration identified 17 modules supported by both sample-level and cell-distribution single-cell validation. The strongest validated architecture involved NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING. Three modules, TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS, showed single-cell-consistent directionality that differed from the bulk-dominant cross-context direction, suggesting compartment- or cell-state-specific behavior.				808	67	False	False
13	Conclusions: This integrative host-omics atlas identifies convergent UTI inflammatory, hormonal, cell-death-associated, and transcriptionally inferred metabolic-response modules, while distinguishing broadly validated modules from context-dependent programs. The framework prioritizes mechanistic axes for future prospective, spatial, proteomic, metabolomic, and perturbational validation.				389	38	False	False
14	Introduction	Heading1		Introduction	12	1	False	False
15	Urinary tract infection is a common bacterial disease syndrome with substantial recurrence burden, and pregnancy-associated UTI is clinically important because infection-related inflammation occurs in a maternal-fetal physiological context. Although UPEC and other uropathogens are central to disease initiation, clinical outcome and recurrence risk are also shaped by host epithelial, immune, inflammatory, hormonal, and metabolic-response programs [Worby_2022_rUTI_multiomics; Hannan_2023_immune_defenses_urinary_tract; GSE280297_maternofetal_UTI_preterm; Schwartz_2023_uropathogen_host_pyelonephritis].				605	59	False	False
16	Existing omics studies provide valuable views of specific UTI-related compartments, including bladder tissue, urine, pregnancy-associated tissues, recurrence-trigger models, and single-cell immune states. However, these data are usually analyzed within individual datasets, limiting the ability to identify host-response modules that recur across biological contexts or distinguish broad inflammatory convergence from compartment-specific behavior [Worby_2022_rUTI_multiomics; Bandyopadhyay_2020_urinary_molecular_signature_sepsis; Liu_2025_CD137L_macrophage_UPEC_scRNA; GSE280297_maternofetal_UTI_preterm].				607	55	False	False
