script	language	phase_tag	project_root_placeholders	repository_root_placeholders	sha256
scripts/archive_phase_scripts/phaseU26A1_targeted_source_contrast_and_species_repair.py	py	phaseU26A1	1	0	62911ebb4ba39ceb8f5a9ada368f82ef0ede8e0cb3386c4a0499ed8ad8cf9e14
scripts/archive_phase_scripts/phaseU26A2_resolve_GSE280297_identifiers_and_design.py	py	phaseU26A2	1	0	6b2dc4fcdd40eb8fa4e6364c37833142ed24f791d8512182c5d419a161415f76
scripts/archive_phase_scripts/phaseU26A3_explicit_source_and_metadata_reconstruction.py	py	phaseU26A3	1	0	e3f1c0c193e661e2623204fa67f5dd4cc45b6df91fec2bc3be912ce7f665d496
scripts/archive_phase_scripts/phaseU26A4_validate_established_GSE280297_assets.py	py	phaseU26A4	1	0	5cd9a15403b8f4458086a92154233516e5a5c44dec5c89f9e48b0999732e81c3
scripts/archive_phase_scripts/phaseU26A5_finalize_GSE280297_input_resolution.py	py	phaseU26A5	1	0	c9d4e5c6833f0572d6b44cb10c710ff1693445d5d43c69eb66da2488004a38b8
scripts/archive_phase_scripts/phaseU26A_expanded_endocrine_metabolic_immune_feasibility_audit.py	py	phaseU26A	1	0	00024dbd684462f7264b85aa55fa5d85fcea61a28f8e3bac6cf63e6a007a92d3
scripts/archive_phase_scripts/phaseU26B1_1_refine_GSE280297_stability.py	py	phaseU26B1	1	0	8f55470e32fbc63cc533cf34cefbf23a5705d93bdf7c6eb3e749443ce2fe41b9
scripts/archive_phase_scripts/phaseU26B1_score_GSE280297_endocrine_metabolic_immune_submodules.py	py	phaseU26B1	1	0	a4d958acb10285d9cdf6f500d69814832285ce3ac3546335c18e8f5c5a30f90a
scripts/archive_phase_scripts/phaseU26B2A1_repair_cross_dataset_inputs.py	py	phaseU26B2A1	1	0	d497f7ade8edfbae042a6eb6b5ccd2419e79be19116cf6b8b48481d516feb4c9
scripts/archive_phase_scripts/phaseU26B2A_prepare_cross_dataset_inputs.py	py	phaseU26B2A	1	0	f792bab256f1333f7e20ea414024fd67713e1e556ccffa0517e0b3d680c6cc3e
scripts/archive_phase_scripts/phaseU26B2B1_collapse_independent_dataset_evidence.py	py	phaseU26B2B1	1	0	4cc9283492116263224b207da1040b141fe0cc4eca57fd19fc5ac3ec457eb1c2
scripts/archive_phase_scripts/phaseU26B2B_score_and_integrate_cross_datasets.py	py	phaseU26B2B	1	0	b6cfacdf7446d56e8066b7c58e24a28cc6c79908555292a5fc381a89c8b297ed
scripts/archive_phase_scripts/phaseU26C1_refine_interpretation.py	py	phaseU26C1	1	0	881101c4fcd55c61e2abd137926c1a609a7951ac81f5088c1221d9407a4c7b38
scripts/archive_phase_scripts/phaseU26C_build_biological_synthesis.py	py	phaseU26C	1	0	6f43cf86f157e11a931017777eb672dbec7df24f1620261587282f78e2089868
scripts/archive_phase_scripts/phaseU26D1A_validate_convert_GSE252321_flat_matrices.py	py	phaseU26D1A	1	0	e2376182fea9205796890051a3c4becfc4ace445d02de62113a0b6610e5d5820
scripts/archive_phase_scripts/phaseU26D1A_validate_convert_GSE252321_flat_matrices_v1_1.py	py	phaseU26D1A	1	0	862fdd492c91d9fad49c3715ca020c44123d9a35c5c654b0911b022fe998fd6a
scripts/archive_phase_scripts/phaseU26D1_audit_GSE252321_singlecell_assets.py	py	phaseU26D1	1	0	fc5d7af0c9a6435f70b130a009cef001e00b26d51658de0d4a4385b10c8fc770
scripts/archive_phase_scripts/phaseU26D2A1_refine_GSE252321_annotations.py	py	phaseU26D2A1	1	0	0e68c426b12d1db184114ae66696b2215b04b432d89fa2b14dc5a589d20f6ae1
scripts/archive_phase_scripts/phaseU26D2A_reconstruct_GSE252321_celltypes.py	py	phaseU26D2A	1	0	33b9f95f778a31b83de2cf57e379844cb618902637ed6fb1ee93732e11116ded
scripts/archive_phase_scripts/phaseU26D2B_score_GSE252321_refined_celltype_pseudobulk.py	py	phaseU26D2B	1	0	1283ffb7fab5dfcfe4a04af181ba3e99d651a7c24cfd76de2cc42428a92c4372
scripts/archive_phase_scripts/phaseU26D2B_score_GSE252321_refined_celltype_pseudobulk_v1_1.py	py	phaseU26D2B	1	0	c750411cea1283f409e710484df40736cfea4f83b9e6474685adfd1436dd942d
scripts/archive_phase_scripts/phaseU26D2C_synthesize_cellular_localization.py	py	phaseU26D2C	1	0	74484438cf5733f5e57dc26a4446f07f64fe916521f500c4c415a96831268662
scripts/archive_phase_scripts/phaseU27A1_audit_figures_7_to_11.py	py	phaseU27A1	1	0	29a86c136cb9d6c30f6cd1432e8f565318f8d112ede57e830f4c7874134ff802
scripts/archive_phase_scripts/phaseU27A2_rebuild_figures_7_to_11_journal_width.py	py	phaseU27A2	1	0	ccf06246bba1fb26114172aa028f528ee929ea6ce0167aa90ee6f0e7bb9a0fd0
scripts/archive_phase_scripts/phaseU27A31_repair_visual_diversity_layout_collisions.py	py	phaseU27A31	1	0	d92f7de9d710d82435faeb466b764e4c02963fb4811a50e682173401671629e4
scripts/archive_phase_scripts/phaseU27A32_finalize_titles_spacing_and_legends.py	py	phaseU27A32	1	0	06cc809a4f0abab33c8a80f84215a2b02706d2c1f83040dabfb72e72d332a50d
scripts/archive_phase_scripts/phaseU27A3_redesign_figures_7_to_11_for_visual_diversity.py	py	phaseU27A3	1	0	60d9dd368bfb8303258720506279c1135c82c4676dbce341e469c06ac7f01aad
scripts/archive_phase_scripts/phaseU27A4_final_visual_audit.py	py	phaseU27A4	1	0	87fabbb73607a81fd07ab73a904505e3ade8e8894cd8facddec80677d09f0278
scripts/archive_phase_scripts/phaseU27A_build_figures_7_to_11.py	py	phaseU27A	1	0	7fb9b0d675de3f632023c2ec16048639fb65208b5fe5b49a7e89939e78712615
scripts/archive_phase_scripts/phaseU27B11_resolve_legacy_source_confirmation.py	py	phaseU27B11	1	0	24401994b9d3bf090a836d9b6466148867079643fe8e3e92860db0fccade8e09
scripts/archive_phase_scripts/phaseU27B1_freeze_architecture_and_map_assets.py	py	phaseU27B1	1	0	0e7ec562219254763962f1deaf1f23b520b5b9e1e98db57106855c1b2f7d8851
scripts/archive_phase_scripts/phaseU27B2A1_lock_exact_panel_sources.py	py	phaseU27B2A1	1	0	696a8115292acd1adac5cd3f5b8a17be9adf6ae075191729fe87b0d77226a286
scripts/archive_phase_scripts/phaseU27B2A2_finalize_panel_source_lock.py	py	phaseU27B2A2	1	0	f5510f0a0b5a6fa4a1e87ee6d9c4988e90efc2e75d1b9d45682499fa12544591
scripts/archive_phase_scripts/phaseU27B2A_resolve_panel_sources_and_schemas.py	py	phaseU27B2A	1	0	a6a415c0e9c22a39dbfd583798d28b542833bd42f056bf72c51a5b1189339934
scripts/archive_phase_scripts/phaseU27B2B_build_final_figures_1_to_4.py	py	phaseU27B2B	1	0	29aff2bca11c4357018e2b2180dc759cfbddcdb2ca45edf98ffe71a4f60814e9
scripts/archive_phase_scripts/phaseU27B2C1_repair_figures_1_to_4_layout.py	py	phaseU27B2C1	1	0	419e15daa1fa6d7f71e6432bac863b361e3ab85064f8c5112ce4cb5aa62f4b47
scripts/archive_phase_scripts/phaseU27B2C2A_repair_GSE280297_full_effect_source.py	py	phaseU27B2C2A	1	0	f19945edeb0573a77c31b7fb97690086f97150f232548e1d778ff8de9b7ac05e
scripts/archive_phase_scripts/phaseU27B2C2B_rebuild_final_figures_1_to_4.py	py	phaseU27B2C2B	1	0	471a7ba5db2811b3dd11baa856655cccffa8568fb1329450a3d5418ca4e55ec9
scripts/archive_phase_scripts/phaseU27B2C2D_final_label_margin_polish.py	py	phaseU27B2C2D	1	0	6eaa4417bcf4bb94910f8ac8f5584e3e13a29203df4e3d6843dd6281f0411ac2
scripts/archive_phase_scripts/phaseU27B2C2E_freeze_final_figures_1_to_4.py	py	phaseU27B2C2E	1	0	3a8b24b0b7c5d1709ceb50403f6f23a0c6cde169748c3e7b5516febdb090a139
scripts/archive_phase_scripts/phaseU27B2D_build_final_figures_5_to_8.py	py	phaseU27B2D	1	0	e0d6a9dfcd41fb5a230782c55618bf18d6207cd641eca57791b8b94749154c39
scripts/archive_phase_scripts/phaseU27B2E1_reconstruct_figures_5_to_8_pathway_specific.py	py	phaseU27B2E1	1	0	d959564bf643ed951d00213b230beb1668279c60bfe4a165ef02373c5c211117
scripts/archive_phase_scripts/phaseU27B2E1_reconstruct_figures_5_to_8_pathway_specific_v11.py	py	phaseU27B2E1	1	0	0749ecf27833d0a6dba14bfe9b787739e0566af006af4f3d1ae684f77f1996ee
scripts/archive_phase_scripts/phaseU27B2E1_reconstruct_figures_5_to_8_pathway_specific_v12.py	py	phaseU27B2E1	1	0	ece1e3aa6a6e9ec6591d0d08bd4c2899c9c48a352ffc9912ee21ce762dda9503
