final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	source_role	locked_path	lock_status
Figure_5	A	Independent endocrine/lipid infection effects	reuse_and_rebuild	U27A4 Figure 7A	U27A4_Figure_7A	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5A	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_5	B	Pregnancy endocrine/lipid effects	reuse_and_rebuild	U27A4 Figure 7B	U27A4_Figure_7B	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5B	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXACT_RULE
Figure_5	C	Broad-cell endocrine/lipid localization	reuse_and_rebuild	U27A4 Figure 7C	U27A4_Figure_7C	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5C	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_5	D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1 steroid branch summary	U26C1_steroid_quadrant	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5D	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_5	D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1 steroid branch summary	U26C1_steroid_quadrant	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5D	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_5	E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C broad reliability	U26D2C_cholesterol	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5E	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_5	E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C broad reliability	U26D2C_cholesterol	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5E	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_5	F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C broad and subtype reliability	U26D2C_lipid_stress	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5F	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_5	F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C broad and subtype reliability	U26D2C_lipid_stress	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5F	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_5	G	Highest-support refined cellular subtypes	reuse_and_rebuild	U27A4 Figure 7D	U27A4_Figure_7D	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5G	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
